DD/MM/YYYY HH:MM:SS	light(lux)
23/07/2021 07:49:56	1.136
23/07/2021 07:54:56	1.136
23/07/2021 07:59:56	1.136
23/07/2021 08:04:56	1.136
23/07/2021 08:09:56	1.136
23/07/2021 08:14:56	1.136
23/07/2021 08:19:56	1.136
23/07/2021 08:24:56	1.136
23/07/2021 08:29:56	1.136
23/07/2021 08:34:56	1.136
23/07/2021 08:39:56	1.136
23/07/2021 08:44:56	1.136
23/07/2021 08:49:56	1.136
23/07/2021 08:54:56	1.136
23/07/2021 08:59:56	1.136
23/07/2021 09:04:56	1.136
23/07/2021 09:09:56	1.136
23/07/2021 09:14:56	1.136
23/07/2021 09:19:56	1.136
23/07/2021 09:24:56	1.136
23/07/2021 09:29:56	1.136
23/07/2021 09:34:56	1.136
23/07/2021 09:39:56	1.136
23/07/2021 09:44:56	1.136
23/07/2021 09:49:56	1.136
23/07/2021 09:54:56	1.136
23/07/2021 09:59:56	1.136
23/07/2021 10:04:56	1.136
23/07/2021 10:09:56	1.136
23/07/2021 10:14:56	1.136
23/07/2021 10:19:56	1.136
23/07/2021 10:24:56	1.136
23/07/2021 10:29:56	1.136
23/07/2021 10:34:56	1.136
23/07/2021 10:39:56	1.136
23/07/2021 10:44:56	1.136
23/07/2021 10:49:56	1.136
23/07/2021 10:54:56	1.136
23/07/2021 10:59:56	1.136
23/07/2021 11:04:56	1.136
23/07/2021 11:09:56	1.136
23/07/2021 11:14:56	1.136
23/07/2021 11:19:56	1.136
23/07/2021 11:24:56	1.136
23/07/2021 11:29:56	1.136
23/07/2021 11:34:56	1.136
23/07/2021 11:39:56	1.136
23/07/2021 11:44:56	1.136
23/07/2021 11:49:56	1.136
23/07/2021 11:54:56	1.136
23/07/2021 11:59:56	1.136
23/07/2021 12:04:56	1.136
23/07/2021 12:09:56	1.136
23/07/2021 12:14:56	1.136
23/07/2021 12:19:56	1.136
23/07/2021 12:24:56	1.136
23/07/2021 12:29:56	1.136
23/07/2021 12:34:56	1.136
23/07/2021 12:39:56	1.136
23/07/2021 12:44:56	1.136
23/07/2021 12:49:56	1.136
23/07/2021 12:54:56	1.136
23/07/2021 12:59:56	1.136
23/07/2021 13:04:56	1.136
23/07/2021 13:09:56	1.136
23/07/2021 13:14:56	1.136
23/07/2021 13:19:56	1.136
23/07/2021 13:24:56	3.407
23/07/2021 13:29:56	537.118
23/07/2021 13:34:56	1.136
23/07/2021 13:39:56	1.136
23/07/2021 13:44:56	1.136
23/07/2021 13:49:56	446.273
23/07/2021 13:54:56	473.526
23/07/2021 13:59:56	537.118
23/07/2021 14:04:56	555.286
23/07/2021 14:09:56	6.813
23/07/2021 14:14:56	6.813
23/07/2021 14:19:56	6.813
23/07/2021 14:24:56	6.813
23/07/2021 14:29:56	4.542
23/07/2021 14:34:56	5.678
23/07/2021 14:39:56	4.542
23/07/2021 14:44:56	232.789
23/07/2021 14:49:56	273.669
23/07/2021 14:54:56	319.091
23/07/2021 14:59:56	214.620
23/07/2021 15:04:56	205.535
23/07/2021 15:09:56	169.198
23/07/2021 15:14:56	169.198
23/07/2021 15:19:56	2.271
23/07/2021 15:24:56	2.271
23/07/2021 15:29:56	1.136
23/07/2021 15:34:56	1.136
23/07/2021 15:39:56	1.136
23/07/2021 15:44:56	1.136
23/07/2021 15:49:56	1.136
23/07/2021 15:54:56	1.136
23/07/2021 15:59:56	1.136
23/07/2021 16:04:56	1.136
23/07/2021 16:09:56	1.136
23/07/2021 16:14:56	1.136
23/07/2021 16:19:56	1.136
23/07/2021 16:24:56	1.136
23/07/2021 16:29:56	1.136
23/07/2021 16:34:56	1.136
23/07/2021 16:39:56	1.136
23/07/2021 16:44:56	1.136
23/07/2021 16:49:56	1.136
23/07/2021 16:54:56	1.136
23/07/2021 16:59:56	1.136
23/07/2021 17:04:56	1.136
23/07/2021 17:09:56	1.136
23/07/2021 17:14:56	1.136
23/07/2021 17:19:56	1.136
23/07/2021 17:24:56	1.136
23/07/2021 17:29:56	1.136
23/07/2021 17:34:56	1.136
23/07/2021 17:39:56	1.136
23/07/2021 17:44:56	1.136
23/07/2021 17:49:56	1.136
